"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"https://t.co/jU0WJ334P7";FALSE;0;NA;2018-04-20 22:21:16;FALSE;NA;"987456191059058688";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"ChuckMarratt";0;FALSE;FALSE;NA;NA
"RT @IainLJBrown: Betting On Artificial Intelligence To Guide Earthquake Response

Read more here: https://t.co/Lghlte4xDs

#ArtificialIntel…";FALSE;0;NA;2018-04-20 22:21:08;FALSE;NA;"987456158389579777";NA;"<a href=\"https://spences10.github.io\" rel=\"nofollow\">thancmar_feldt</a>";"ThancmarFeldt";5;TRUE;FALSE;NA;NA
"Bringing Barnyards Into the 21st Century with Artificial Intelligence:https://t.co/b0taHhOzTM via @";FALSE;0;NA;2018-04-20 22:20:56;FALSE;NA;"987456107999367169";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"umndairyext";0;FALSE;FALSE;NA;NA
"https://t.co/gjdJaskeTF

Insights from 100s of AI use cases @DigitalMcKinsey #MITAI";FALSE;0;NA;2018-04-20 22:20:51;FALSE;NA;"987456084116881409";NA;"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>";"DickeySingh";0;FALSE;FALSE;NA;NA
"RT @sciencemuseum: #LunchtimeReading for today. Understanding how different networks in the human brain support human cognition is an inhum…";FALSE;0;NA;2018-04-20 22:20:50;FALSE;NA;"987456079595474945";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"emp_athy";16;TRUE;FALSE;NA;NA
"RT @MIT: RT @MIT_Spectrum: What are the moral implications of developing an emotional tether to a dynamic, social robot? @medialab's @grok_…";FALSE;0;NA;2018-04-20 22:20:47;FALSE;NA;"987456068325437442";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"DMGipoulou";16;TRUE;FALSE;NA;NA
"RT @NIRAV_88: RT SpirosMargaris: Notes from the #AI frontier: 

Applications and value of #DeepLearning 
via McKinsey 

https://t.co/t9ITkm…";FALSE;0;NA;2018-04-20 22:20:46;FALSE;NA;"987456065145978880";NA;"<a href=\"http://web2news.com\" rel=\"nofollow\">Machine Learning Digest</a>";"machinelearn_d";1;TRUE;FALSE;NA;NA
"RT @Lago72: 10 Charts That Will Change Your Perspective On Artificial Intelligence's Growth https://t.co/ixUxXQ0rXC
v/ @Irregulars by @Loui…";FALSE;0;NA;2018-04-20 22:20:35;FALSE;NA;"987456017318359041";NA;"<a href=\"http://web2news.com\" rel=\"nofollow\">Machine Learning Digest</a>";"machinelearn_d";1;TRUE;FALSE;NA;NA
"Global Artificial Intelligence (AI) Robots Market 2018 – ABB, Alphabet, Amazon, Asustek Computer  https://t.co/IxuwjDK6qw";FALSE;0;NA;2018-04-20 22:20:20;FALSE;NA;"987455954974314496";NA;"<a href=\"https://panel.socialpilot.co/\" rel=\"nofollow\">SocialPilot.co</a>";"InfoProNetwork";0;FALSE;FALSE;NA;NA
"I liked a @YouTube video https://t.co/wfzXjPIUcQ ARTIFICIAL INTELLIGENCE - No Extra Software Needed";FALSE;0;NA;2018-04-20 22:20:06;FALSE;NA;"987455898405744642";NA;"<a href=\"http://www.google.com/\" rel=\"nofollow\">Google</a>";"JamieRibeiro4";0;FALSE;FALSE;NA;NA
"Quick hits: Today, just 15% of enterprises are using #AI. But 31% said it is on the agenda for the next 12 months.… https://t.co/zdlON4mCjg";FALSE;0;NA;2018-04-20 22:20:04;TRUE;NA;"987455889262211078";NA;"<a href=\"http://www.hootsuite.com\" rel=\"nofollow\">Hootsuite</a>";"Andrew_Dennis";0;FALSE;FALSE;NA;NA
"RT @BainAlerts: In a world shaped by artificial intelligence, human leadership matters more than ever: 

https://t.co/m3DGPvPdRG";FALSE;0;NA;2018-04-20 22:19:59;FALSE;NA;"987455868504559616";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"MikeBaxterBain";11;TRUE;FALSE;NA;NA
"RT @srkninci: Yapay Zeka üzerine arastirma yapan mühendisler, yilda 1 milyon dolar kazanabiliyorlar. Hem de sermayesiz

Ylisans, doktora dü…";FALSE;0;NA;2018-04-20 22:19:57;FALSE;NA;"987455859180687361";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"nakkareci";10;TRUE;FALSE;NA;NA
"RT @CNBC: Chinese tech company Huawei wants to change the way people talk to their artificially intelligent voice assistants. https://t.co/…";FALSE;0;NA;2018-04-20 22:19:48;FALSE;NA;"987455822841040896";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"soysaucemgmt";5;TRUE;FALSE;NA;NA
"The Doomsday Invention https://t.co/upklTAc9NW";FALSE;0;NA;2018-04-20 22:19:45;FALSE;NA;"987455807833952257";NA;"<a href=\"https://getpocket.com\" rel=\"nofollow\">Pocket.</a>";"hadmars";0;FALSE;FALSE;NA;NA
"RT @CNBC: Chinese tech company Huawei wants to change the way people talk to their artificially intelligent voice assistants. https://t.co/…";FALSE;0;NA;2018-04-20 22:19:36;FALSE;NA;"987455768990400512";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"momros";5;TRUE;FALSE;NA;NA
"New story on NPR: Betting On Artificial Intelligence To Guide Earthquake Response https://t.co/1U3O3fxNvq";FALSE;0;NA;2018-04-20 22:19:32;FALSE;NA;"987455753530368001";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"clmuddjr";0;FALSE;FALSE;NA;NA
"Chinese factories deploy AI to grow more than 6 billion roaches a year https://t.co/No5TR24K02";FALSE;0;NA;2018-04-20 22:19:29;FALSE;NA;"987455743484981250";NA;"<a href=\"http://www.google.com/\" rel=\"nofollow\">Google</a>";"hawebservices";0;FALSE;FALSE;NA;NA
