"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"RT @Ross_Quintana: 9 Practical Use-Cases of Predictive Analytics https://t.co/MLESMIdITN #Analytics https://t.co/MXpoXPita7";FALSE;0;NA;2018-04-10 13:04:15;FALSE;NA;"983692134103601152";NA;"<a href=\"https://smarterqueue.com\" rel=\"nofollow\">SmarterQueue</a>";"Ross_Quintana";2;TRUE;FALSE;NA;NA
"Thanks for the mention! K06AE: Thanks for the mention! CodieFans: @SymonaColina @Analytics_COE @K06AE @TanRob22… https://t.co/JFakYgd0wL";FALSE;0;NA;2018-04-10 13:04:12;TRUE;NA;"983692121805860865";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"Analytics_COE";0;FALSE;FALSE;NA;NA
"https://t.co/QUY12EMWXK
As #digitization increases, #Retailers need to change according to the environment which of… https://t.co/PUOIkXOwrH";FALSE;0;NA;2018-04-10 13:04:11;TRUE;NA;"983692118425153536";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"digifacets";0;FALSE;FALSE;NA;NA
"Thanks for the mention! K06AE: Thanks for the mention! CodieFans: @SymonaColina @Analytics_COE @K06AE @TanRob22… https://t.co/qSwUKuxOJE";FALSE;0;NA;2018-04-10 13:04:11;TRUE;NA;"983692118395940864";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"Analytics_COE";0;FALSE;FALSE;NA;NA
"Thanks for the mention! CodieFans: @SymonaColina @Analytics_COE @K06AE @TanRob22 @spendharkar @BabyGo2014… https://t.co/4Dq5CLjB1N";FALSE;0;NA;2018-04-10 13:04:10;TRUE;NA;"983692114574954496";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"Analytics_COE";0;FALSE;FALSE;NA;NA
"Thanks for the mention! CodieFans: @SymonaColina @Analytics_COE @K06AE @TanRob22 @spendharkar @BabyGo2014… https://t.co/w1tw2qk3xb";FALSE;0;NA;2018-04-10 13:04:10;TRUE;NA;"983692110909108225";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"Analytics_COE";0;FALSE;FALSE;NA;NA
"Thanks for the mention! MLearn_: Thanks for the mention! K12AE: Thanks for the mention! MLearn_: Thanks for the men… https://t.co/zPmdCVMWeK";FALSE;0;NA;2018-04-10 13:04:09;TRUE;NA;"983692107620765696";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"Analytics_COE";0;FALSE;FALSE;NA;NA
"RT @cornellazar: Email personalisation at scale is a data problem. Not a marketing problem. Not a design problem. Discover 5x tactics data-…";FALSE;0;NA;2018-04-10 13:04:08;FALSE;NA;"983692104089128960";NA;"<a href=\"https://twitter.com/\" rel=\"nofollow\">candismorriso11 App</a>";"candismorriso11";2;TRUE;FALSE;NA;NA
"Thanks for the mention! MLearn_: Thanks for the mention! K12AE: Thanks for the mention! Analytics_HQ: #TY!… https://t.co/H0DQL3bvIN";FALSE;0;NA;2018-04-10 13:04:08;TRUE;NA;"983692103107731457";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"Analytics_COE";0;FALSE;FALSE;NA;NA
"When Cardi Bae retweets you and you wake up with 72738386362 likes/RTs/notifications and analytics OFF THE RICHTER.… https://t.co/525xYasnnX";FALSE;0;NA;2018-04-10 13:04:06;TRUE;NA;"983692097122328576";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"HeadOvr6inHeels";0;FALSE;FALSE;NA;NA
"Advito Launches Intelligence &amp; Analytics Consulting Practice with Data and Analytics Tools Powered by Business Tech… https://t.co/8nqZu4oaYH";FALSE;0;NA;2018-04-10 13:04:06;TRUE;NA;"983692094559567880";NA;"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>";"TsewolePanseh";0;FALSE;FALSE;NA;NA
"#Analyze it and they will come. How to build a #brand with #data via @Forbes @elissafink 
https://t.co/nZGKmui6b6… https://t.co/OaeoiEYeiP";FALSE;0;NA;2018-04-10 13:04:06;TRUE;NA;"983692094123466752";NA;"<a href=\"http://www.oktopost.com\" rel=\"nofollow\">Oktopost</a>";"Optimove";0;FALSE;FALSE;NA;NA
"What’s now and next in analytics, AI, and automation https://t.co/lmQDKZvROr";FALSE;0;NA;2018-04-10 13:04:01;FALSE;NA;"983692073583996928";NA;"<a href=\"http://bufferapp.com\" rel=\"nofollow\">Buffer</a>";"Canopach";0;FALSE;FALSE;NA;NA
"RT @agboxcanada: #agdata collection and analytics controlled by users...Europe doing it...Australia moving towards it...Canada moving towar…";FALSE;0;NA;2018-04-10 13:03:58;FALSE;NA;"983692062640910336";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"CropProCory";3;TRUE;FALSE;NA;NA
"Shippers large and small need to look more closely at #parcel transportation costs and are turning to enterprise… https://t.co/UB70IlEJYw";FALSE;0;NA;2018-04-10 13:03:58;TRUE;NA;"983692060787183616";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"Pierbridge";0;FALSE;FALSE;NA;NA
"RT @Devaashish_: Before the #trend of #DigitalTransformation went mainstream, this #infographic shows the evolution of:

#IoT
#Tech
#SMM
#I…";FALSE;0;NA;2018-04-10 13:03:56;FALSE;NA;"983692055447724033";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"simplivllc";8;TRUE;FALSE;NA;NA
"RT @MikeQuindazzi: 9 trends harmonizing and driving #BigData, #Analytics, and #ArtificialIntelligence at faster speeds and scale! @MikeQuin…";FALSE;0;NA;2018-04-10 13:03:50;FALSE;NA;"983692029061484546";NA;"<a href=\"https://twitter.com/zippylab\" rel=\"nofollow\">Zippylab4</a>";"zippylab";73;TRUE;FALSE;NA;NA
