"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"Fixy Network comes to answer the challenge, in keeping with the modern and answer the public needs, join… https://t.co/Z1pIsrMXKA";FALSE;0;NA;2018-04-10 13:04:10;TRUE;NA;"983692112209199105";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"azharikamil54";0;FALSE;FALSE;NA;NA
"RT @SocialWalletInc: One of the many reasons decentralization is so attractive is because the currency is not regulated by any central gove…";FALSE;0;NA;2018-04-10 13:04:09;FALSE;NA;"983692109617221632";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"policeoo";1146;TRUE;FALSE;NA;NA
"RT @bethereumteam: We're humbled by the constant support of our communities and we love to give back! <ed><U+00A0><U+00BC><ed><U+00BE><U+0082>
Checkout what we're doing for our m…";FALSE;0;NA;2018-04-10 13:04:09;FALSE;NA;"983692108644184065";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"DanielleCrisos6";2629;TRUE;FALSE;NA;NA
"RT @Cointelegraph: German Consulting Firm @camelotglobal presets #Blockchain solution for managing #healthcare data. https://t.co/5kzXen5HE4";FALSE;0;NA;2018-04-10 13:04:08;FALSE;NA;"983692105662042112";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"cryptofancool";39;TRUE;FALSE;NA;NA
"RT @DeepAeroDrones: Drone Technologies To Help DOT’s Save Time During Inspection. Read More @ https://t.co/pkJsBFXTHP
#DEEPAERO #AI #BLOCKC…";FALSE;0;NA;2018-04-10 13:04:07;FALSE;NA;"983692100972793856";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"thekeninsberg";806;TRUE;FALSE;NA;NA
"RT @SimplyVitalHQ: Watch our CEO @kkuzmesk talk about all things #blockchain and #healthIT. Big thanks to @realCoinCrunch for such a wonder…";FALSE;0;NA;2018-04-10 13:04:06;FALSE;NA;"983692096564580352";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"chondruleloyal";416;TRUE;FALSE;NA;NA
"RT @OsageVP: Excited for @PhilaPACT #phorum18 happening 4/12/18! #immersive #cognitive #trusted #AI #Blockchain #Sensors #AR/R Register Now…";FALSE;0;NA;2018-04-10 13:04:06;FALSE;NA;"983692096434573312";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"OpenAccessPHL";2;TRUE;FALSE;NA;NA
"RT @bethereumteam: Have you already registered on https://t.co/VupC9N9Dcm?
Our public #presale is starting soon! <U+23F1><U+FE0F>
#Crypto #Bitcoin #Block…";FALSE;0;NA;2018-04-10 13:04:06;FALSE;NA;"983692096203718656";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"Kevinsapunto2";1391;TRUE;FALSE;NA;NA
"RT @bethereumteam: Read about our CEO getting interviewed by @cryptonewsmag! <U+270D><U+FE0F>
https://t.co/CBbbCx4O5m
#cryptocurrency #CryptoSummit #cryp…";FALSE;0;NA;2018-04-10 13:04:05;FALSE;NA;"983692093741821952";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"DanielleCrisos6";2568;TRUE;FALSE;NA;NA
"RT @SocialWalletInc: Blockchain technology is not reliant on humans to function. Therefore, it operates 24 hours a day, 7 days per week. #b…";FALSE;0;NA;2018-04-10 13:04:05;FALSE;NA;"983692092890320896";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"policeoo";1220;TRUE;FALSE;NA;NA
"RT @Merculet_io: MVP has the following features: Limited total amount: maintain a certain degree of expandability and scarcity; Numerous ci…";FALSE;0;NA;2018-04-10 13:04:05;FALSE;NA;"983692092785545217";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"CryptoNaij";837;TRUE;FALSE;NA;NA
"Telegram group https://t.co/tNtJ3v7MA1… https://t.co/Fw2VmAaAac";FALSE;0;NA;2018-04-10 13:04:05;TRUE;NA;"983692092760379393";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"Tata_Coinbaby";0;FALSE;FALSE;NA;NA
